Coderange,level1_desc,level2_desc,level3_desc,URL
A00,Certain infectious and parasitic diseases,Intestinal infectious diseases,Cholera,https://www.icd10data.com/ICD10CM/Codes/A00-B99/A00-A09/A00-
A01,Certain infectious and parasitic diseases,Intestinal infectious diseases,Typhoid and paratyphoid fevers,https://www.icd10data.com/ICD10CM/Codes/A00-B99/A00-A09/A01-
A02,Certain infectious and parasitic diseases,Intestinal infectious diseases,Other salmonella infections,https://www.icd10data.com/ICD10CM/Codes/A00-B99/A00-A09/A02-
A03,Certain infectious and parasitic diseases,Intestinal infectious diseases,Shigellosis,https://www.icd10data.com/ICD10CM/Codes/A00-B99/A00-A09/A03-
A04,Certain infectious and parasitic diseases,Intestinal infectious diseases,Other bacterial intestinal infections,https://www.icd10data.com/ICD10CM/Codes/A00-B99/A00-A09/A04-
A05,Certain infectious and parasitic diseases,Intestinal infectious diseases,"Other bacterial foodborne intoxications, not elsewhere classified",https://www.icd10data.com/ICD10CM/Codes/A00-B99/A00-A09/A05-
A06,Certain infectious and parasitic diseases,Intestinal infectious diseases,Amebiasis,https://www.icd10data.com/ICD10CM/Codes/A00-B99/A00-A09/A06-
A07,Certain infectious and parasitic diseases,Intestinal infectious diseases,Other protozoal intestinal diseases,https://www.icd10data.com/ICD10CM/Codes/A00-B99/A00-A09/A07-
A08,Certain infectious and parasitic diseases,Intestinal infectious diseases,Viral and other specified intestinal infections,https://www.icd10data.com/ICD10CM/Codes/A00-B99/A00-A09/A08-
A09,Certain infectious and parasitic diseases,Intestinal infectious diseases,"Infectious gastroenteritis and colitis, unspecified",https://www.icd10data.com/ICD10CM/Codes/A00-B99/A00-A09/A09-
A15,Certain infectious and parasitic diseases,Tuberculosis,Respiratory tuberculosis,https://www.icd10data.com/ICD10CM/Codes/A00-B99/A15-A19/A15-
A17,Certain infectious and parasitic diseases,Tuberculosis,Tuberculosis of nervous system,https://www.icd10data.com/ICD10CM/Codes/A00-B99/A15-A19/A17-
A18,Certain infectious and parasitic diseases,Tuberculosis,Tuberculosis of other organs,https://www.icd10data.com/ICD10CM/Codes/A00-B99/A15-A19/A18-
A19,Certain infectious and parasitic diseases,Tuberculosis,Miliary tuberculosis,https://www.icd10data.com/ICD10CM/Codes/A00-B99/A15-A19/A19-
A20,Certain infectious and parasitic diseases,Certain zoonotic bacterial diseases,Plague,https://www.icd10data.com/ICD10CM/Codes/A00-B99/A20-A28/A20-
A21,Certain infectious and parasitic diseases,Certain zoonotic bacterial diseases,Tularemia,https://www.icd10data.com/ICD10CM/Codes/A00-B99/A20-A28/A21-
A22,Certain infectious and parasitic diseases,Certain zoonotic bacterial diseases,Anthrax,https://www.icd10data.com/ICD10CM/Codes/A00-B99/A20-A28/A22-
A23,Certain infectious and parasitic diseases,Certain zoonotic bacterial diseases,Brucellosis,https://www.icd10data.com/ICD10CM/Codes/A00-B99/A20-A28/A23-
A24,Certain infectious and parasitic diseases,Certain zoonotic bacterial diseases,Glanders and melioidosis,https://www.icd10data.com/ICD10CM/Codes/A00-B99/A20-A28/A24-
A25,Certain infectious and parasitic diseases,Certain zoonotic bacterial diseases,Rat-bite fevers,https://www.icd10data.com/ICD10CM/Codes/A00-B99/A20-A28/A25-
A26,Certain infectious and parasitic diseases,Certain zoonotic bacterial diseases,Erysipeloid,https://www.icd10data.com/ICD10CM/Codes/A00-B99/A20-A28/A26-
A27,Certain infectious and parasitic diseases,Certain zoonotic bacterial diseases,Leptospirosis,https://www.icd10data.com/ICD10CM/Codes/A00-B99/A20-A28/A27-
A28,Certain infectious and parasitic diseases,Certain zoonotic bacterial diseases,"Other zoonotic bacterial diseases, not elsewhere classified",https://www.icd10data.com/ICD10CM/Codes/A00-B99/A20-A28/A28-
A30,Certain infectious and parasitic diseases,Other bacterial diseases,Leprosy [Hansen's disease],https://www.icd10data.com/ICD10CM/Codes/A00-B99/A30-A49/A30-
A31,Certain infectious and parasitic diseases,Other bacterial diseases,Infection due to other mycobacteria,https://www.icd10data.com/ICD10CM/Codes/A00-B99/A30-A49/A31-
A32,Certain infectious and parasitic diseases,Other bacterial diseases,Listeriosis,https://www.icd10data.com/ICD10CM/Codes/A00-B99/A30-A49/A32-
A33,Certain infectious and parasitic diseases,Other bacterial diseases,Tetanus neonatorum,https://www.icd10data.com/ICD10CM/Codes/A00-B99/A30-A49/A33-
A34,Certain infectious and parasitic diseases,Other bacterial diseases,Obstetrical tetanus,https://www.icd10data.com/ICD10CM/Codes/A00-B99/A30-A49/A34-
A35,Certain infectious and parasitic diseases,Other bacterial diseases,Other tetanus,https://www.icd10data.com/ICD10CM/Codes/A00-B99/A30-A49/A35-
A36,Certain infectious and parasitic diseases,Other bacterial diseases,Diphtheria,https://www.icd10data.com/ICD10CM/Codes/A00-B99/A30-A49/A36-
A37,Certain infectious and parasitic diseases,Other bacterial diseases,Whooping cough,https://www.icd10data.com/ICD10CM/Codes/A00-B99/A30-A49/A37-
A38,Certain infectious and parasitic diseases,Other bacterial diseases,Scarlet fever,https://www.icd10data.com/ICD10CM/Codes/A00-B99/A30-A49/A38-
A39,Certain infectious and parasitic diseases,Other bacterial diseases,Meningococcal infection,https://www.icd10data.com/ICD10CM/Codes/A00-B99/A30-A49/A39-
A40,Certain infectious and parasitic diseases,Other bacterial diseases,Streptococcal sepsis,https://www.icd10data.com/ICD10CM/Codes/A00-B99/A30-A49/A40-
A41,Certain infectious and parasitic diseases,Other bacterial diseases,Other sepsis,https://www.icd10data.com/ICD10CM/Codes/A00-B99/A30-A49/A41-
A42,Certain infectious and parasitic diseases,Other bacterial diseases,Actinomycosis,https://www.icd10data.com/ICD10CM/Codes/A00-B99/A30-A49/A42-
A43,Certain infectious and parasitic diseases,Other bacterial diseases,Nocardiosis,https://www.icd10data.com/ICD10CM/Codes/A00-B99/A30-A49/A43-
A44,Certain infectious and parasitic diseases,Other bacterial diseases,Bartonellosis,https://www.icd10data.com/ICD10CM/Codes/A00-B99/A30-A49/A44-
A46,Certain infectious and parasitic diseases,Other bacterial diseases,Erysipelas,https://www.icd10data.com/ICD10CM/Codes/A00-B99/A30-A49/A46-
A48,Certain infectious and parasitic diseases,Other bacterial diseases,"Other bacterial diseases, not elsewhere classified",https://www.icd10data.com/ICD10CM/Codes/A00-B99/A30-A49/A48-
A49,Certain infectious and parasitic diseases,Other bacterial diseases,Bacterial infection of unspecified site,https://www.icd10data.com/ICD10CM/Codes/A00-B99/A30-A49/A49-
A50,Certain infectious and parasitic diseases,Infections with a predominantly sexual mode of transmission,Congenital syphilis,https://www.icd10data.com/ICD10CM/Codes/A00-B99/A50-A64/A50-
A51,Certain infectious and parasitic diseases,Infections with a predominantly sexual mode of transmission,Early syphilis,https://www.icd10data.com/ICD10CM/Codes/A00-B99/A50-A64/A51-
A52,Certain infectious and parasitic diseases,Infections with a predominantly sexual mode of transmission,Late syphilis,https://www.icd10data.com/ICD10CM/Codes/A00-B99/A50-A64/A52-
A53,Certain infectious and parasitic diseases,Infections with a predominantly sexual mode of transmission,Other and unspecified syphilis,https://www.icd10data.com/ICD10CM/Codes/A00-B99/A50-A64/A53-
A54,Certain infectious and parasitic diseases,Infections with a predominantly sexual mode of transmission,Gonococcal infection,https://www.icd10data.com/ICD10CM/Codes/A00-B99/A50-A64/A54-
A55,Certain infectious and parasitic diseases,Infections with a predominantly sexual mode of transmission,Chlamydial lymphogranuloma (venereum),https://www.icd10data.com/ICD10CM/Codes/A00-B99/A50-A64/A55-
A56,Certain infectious and parasitic diseases,Infections with a predominantly sexual mode of transmission,Other sexually transmitted chlamydial diseases,https://www.icd10data.com/ICD10CM/Codes/A00-B99/A50-A64/A56-
A57,Certain infectious and parasitic diseases,Infections with a predominantly sexual mode of transmission,Chancroid,https://www.icd10data.com/ICD10CM/Codes/A00-B99/A50-A64/A57-
A58,Certain infectious and parasitic diseases,Infections with a predominantly sexual mode of transmission,Granuloma inguinale,https://www.icd10data.com/ICD10CM/Codes/A00-B99/A50-A64/A58-
A59,Certain infectious and parasitic diseases,Infections with a predominantly sexual mode of transmission,Trichomoniasis,https://www.icd10data.com/ICD10CM/Codes/A00-B99/A50-A64/A59-
A60,Certain infectious and parasitic diseases,Infections with a predominantly sexual mode of transmission,Anogenital herpesviral [herpes simplex] infections,https://www.icd10data.com/ICD10CM/Codes/A00-B99/A50-A64/A60-
A63,Certain infectious and parasitic diseases,Infections with a predominantly sexual mode of transmission,"Other predominantly sexually transmitted diseases, not elsewhere classified",https://www.icd10data.com/ICD10CM/Codes/A00-B99/A50-A64/A63-
A64,Certain infectious and parasitic diseases,Infections with a predominantly sexual mode of transmission,Unspecified sexually transmitted disease,https://www.icd10data.com/ICD10CM/Codes/A00-B99/A50-A64/A64-
A65,Certain infectious and parasitic diseases,Other spirochetal diseases,Nonvenereal syphilis,https://www.icd10data.com/ICD10CM/Codes/A00-B99/A65-A69/A65-
A66,Certain infectious and parasitic diseases,Other spirochetal diseases,Yaws,https://www.icd10data.com/ICD10CM/Codes/A00-B99/A65-A69/A66-
A67,Certain infectious and parasitic diseases,Other spirochetal diseases,Pinta [carate],https://www.icd10data.com/ICD10CM/Codes/A00-B99/A65-A69/A67-
A68,Certain infectious and parasitic diseases,Other spirochetal diseases,Relapsing fevers,https://www.icd10data.com/ICD10CM/Codes/A00-B99/A65-A69/A68-
A69,Certain infectious and parasitic diseases,Other spirochetal diseases,Other spirochetal infections,https://www.icd10data.com/ICD10CM/Codes/A00-B99/A65-A69/A69-
A70,Certain infectious and parasitic diseases,Other diseases caused by chlamydiae,Chlamydia psittaci infections,https://www.icd10data.com/ICD10CM/Codes/A00-B99/A70-A74/A70-
A71,Certain infectious and parasitic diseases,Other diseases caused by chlamydiae,Trachoma,https://www.icd10data.com/ICD10CM/Codes/A00-B99/A70-A74/A71-
